,Name,Comments,Likes,Replies,Published
2300,Blah,RIP Chadwick Boseman. You’ll live in our hearts forever ️.,57,1 reply,4 days ago
2301,music Studio,"If they screw this one up too, I'm gonna be mad",0,0 reply,1 day ago
2302,Rob,1:32   is James bond in this¿,1,0 reply,32 minutes ago
2303,Broken-Hearted Black Girl,""" I am queen of the most powerful nation in the world and my entire family is gone! Have I not given everything?!"" If you heard this line reverb in your mind and sink into your heart making it ache in a sadness that swelled into a deep pain, then you know true loss. I know true loss and the feel of that one line.  Amazing writing. This is going to be a powerful story!",25,1 reply,1 day ago
2304,Andres Sabala,I haven’t been this hyped for a marvel movie in a long time. This seems like it’ll be their BEST movie yet. Absolute chills,150, 11 replies,1 day ago
2305,MrsDesireeNicole,CHILLS WATCHING THIS! If the trailer is this beautifully done I can’t imagine how epic the movie will be! RIP Chadwick ,130,0 reply,1 day ago
2306,SniffSniffMmm,This trailer really just captures your heart and embrace it like it were a mother. Rip our king who brought everyone in the world together as a family,326, 4 replies,1 day ago (edited)
2307,Abhishek Kumar,That single dialogue brought Goosebumps to me ,21,0 reply,1 day ago
2308,HydroBetty,I was on the verge of crying. I know the show must go on and this looks epic. Rest In Sleep Chadwick Boseman,189, 4 replies,1 day ago
2309,Expertia,"This gave me goosebumps, it will for sure bring a lot of emotion with it.",3,0 reply,1 day ago
2310,James Galligan,I love how they dropped this and then just expected us to back to work as if the world hasn’t been forever changed by a couple of remixes mashed together and footage of the most powerful women in cinematic history.,6,0 reply,1 day ago
2311,Shalom Dima,"I just love love this, gat goose bumps... I love the free expression of emotions, the Soundtrack transition... Great ",11, 3 replies,1 day ago
2312,Krisztián Simon,Chills and teardrops in my eyes. I hope the movie will be just as powerfull as this trailer,58,0 reply,1 day ago
2313,K G,"Chills Chills chills, RIP to Mr. Chadwick Boseman, but rest assured his legacy will continue to live on forever <3",3,0 reply,1 day ago
2314,Vanessa Rodriguez,Omg this Trailer literally gave me chills! Wakanda Forever!,80,1 reply,1 day ago
2315,dRoy,"The mixtape, visuals, tension as well as the suspense are very whelming. I love it already. Wakanda Forever. Rest in Power Mr Chadwick",1,0 reply,1 day ago (edited)
2316,ADNAN_,"It makes me so emotional. Such an masterpiece trailer by marvel. 
RIP OUR KING. you always live in our heart. Wakanda forever...",102, 5 replies,1 day ago
2317,Shoaib Zafar,Everything gonna be alright . Wakanda forever ,4,0 reply,1 day ago
2318,Barivule Norde,"Omg I’m crying and this is just the trailer. Rip our King Chadwick Boseman. You will never be forgotten, Wakanda forever! This is going to be the movie of the year I just know it.",14,0 reply,1 day ago
2319,StarJoker,Phase 4 has been a mixed bag for me - I've found it more mid than truly brilliant - but I really want this movie to close phase 4 on a top-notch note.,14,0 reply,1 day ago
2320,M C,I didn't even make it a minute into the trailer before I started tearing up I miss Chadwick so much. But I have faith in Ryan Couglar to deliver.,2,0 reply,1 day ago (edited)
2321,Tim Brown,It is truly amazing to see the reaction of everyone and the excitement they feel about this movie it's more amazing of how many tears have been she's ust off of a trailer I myself have gotten a little choked up and watch this thing maybe about 10 times so far I can't wait for this movie to come out,0,0 reply,1 day ago (edited)
2322,Kalimba Sis,Looks epic and song sounds so powerful. Can’t wait to watch it! ,1,0 reply,1 day ago
2323,Hey it’s Louise,"I cannot express how good this looks, I teared up when I saw this! It looks amazing, well done marvel you’ve done it again!",425, 12 replies,3 days ago (edited)
2324,Quinn .H,I’m so glad they didn’t try to replace Chadwick with a new actor,0,0 reply,1 day ago
2325,Ghetto Monk,"Is the new Black Panther a woman ?
Or a dude with some serious sugar in his tank 1:55 ?",0,0 reply,1 hour ago
2326,Alenia TV,Bukanya Wakanda Negara Indonesia?,0,0 reply,1 hour ago
2327,Muhaimin Ideris,Please marvel cast JOHN DAVID WASHINGTON replace Chadwick ..,0,0 reply,10 hours ago
2328,Ahsan Haider,"Even though I'm unsure of who will take on the role of Black Panther, I liked how the trailer focused on Wakanda's other characters as a whole, giving the impression that the film will be an ensemble character tale with the city at its centre. In all honesty, I don't mind this because I enjoy a lot of the characters from the previous movie and wouldn't mind if they played equal or shared roles in the plot, provided that the writing is still strong.",59,0 reply,3 days ago
2329,Self-Motivation Rafi,Namors throne looks sickkkk,0,0 reply,1 day ago
2330,Gamer with Glasses,"this movie is going to flop so hard. After Chadwick died, they should have stopped and not used his death to push the movie.",0,0 reply,5 hours ago
2331,Carlos Valera,"Never in my life have I felt so many emotions together just by watching a movie trailer, I cried a lot but I enjoyed it, I can't wait for November to come, you will always be our black panther Chadwick Boseman we love you.",50,0 reply,2 days ago
2332,Ethan Hunt,Who is the panther?,0,0 reply,10 hours ago
2333,J gamers 73,Nice video,0,0 reply,24 minutes ago
2334,DevinGaming,"No one will ever replace Chadwick Boseman. He will forever be remembered as the one and only Black Panther. Long live the king, Wakanda Forever. This movie is looking awesome already!",190,0 reply,4 days ago
2335,Will Mac,Is it only about women?,1,0 reply,2 hours ago
2336,karateka oss,He was not supposed to die in real life,0,0 reply,15 minutes ago
2337,Hex Hub,"I'm excited for everything. The end credits music, the action, the redemption, everything.",144,0 reply,3 days ago
2338,Jozeph Faber,Can't fuking wait,0,0 reply,6 hours ago
2339,Israel Becerril,1:56 Erik killmonger?  ,0,0 reply,2 hours ago
2340,John Wick,The song choice was just perfect! It really sent chills down my spine!,658, 7 replies,3 days ago (edited)
2341,Birb,Can we all agree if Shuri gets the suit to not write the whole movie off.  She has always wanted the suit.  Its in line with the comics and she wants to honor her big bro.  If the movie doesnt write the transition well then i can understand but so much pettiness for something that is meant to be in honor of someone gone from this world.  Leave your ego at the door.,0,0 reply,1 day ago
2342,Berf,"I have black dwarf or elves in LOTR and dont have white people in wakanda, where is problem :DD",1,0 reply,4 hours ago
2343,David Lanzillotta,"Perfect! 
I liked the first Black Panther, didn't love it. Although I do see it as an important movie for many. But this trailer definately struck me! Above it being an MCU property, which I always find some joy in all their properties, this feels like a mature (comic book) movie with excellent performances. Right now, I am excited to see this movie.",0,0 reply,1 day ago (edited)
2344,Glitch Grey,This is why I love marvel studios always try their best to entertain us BTW loved the teaser,1,0 reply,1 day ago
2345,Kevin Wu,I love how this movie branches out so much from the original wakandian palette and has everyone dressed in the craziest of colors.,10,0 reply,1 day ago
2346,Augustsson Agrikaan Per,Possibly one of the best trailers I've seen.,4,0 reply,1 day ago
2347,Mohan Sai,last scene was hitting goosebumps ,2,0 reply,1 day ago
2348,Sean Sanguinet,This might be my favorite trailer ever created by marvel.,3,0 reply,1 day ago
2349,Earth Ninja,I just know this movie’s gonna have 100 on rotten tomatoes. It has everything it needs to be amazing.,1,0 reply,1 day ago
2350,Kunal Bankar,Finally. A MCU movie which is showing serious tone. I was really getting tired of unnecessary jokes in every single movie. I really wish this turns out to be emotional movie with serious consequences,6, 11 replies,1 day ago
2351,Dak Kruller,"The context of reality is going to make this movie very emotional. 
However, I really hope they don’t ruin it with agenda pushing and forceful plot lines. I hope they honor Chadwick and tell a great story.",0,0 reply,1 day ago
2352,Himynameis,I’m going to be in the movies crying my eyes out  Rip Chadwick gone too soon ,3,0 reply,1 day ago
2353,Ephraim Dwamena,Beautifully made,2,0 reply,1 day ago
2354,ANNIE DUTTA,That Black Panther costume at the end gave me tears and goosebumps. People are going to cry inside the theater...... We all miss him.,1,0 reply,1 day ago
2355,MarvelousManiac,"Alright, I definitely teared up a bit.",2,0 reply,1 day ago
2356,ashmeet arora,i was not excited for this movie but honestly the trailer has made me a fan ️️,0,0 reply,1 day ago
2357,RealBigFlopa,"This has the potential to be one of the greatest MCU movies to ever come out, but from how 2022 MCU movies have been, my expectations are low, but still pretty high",0,0 reply,1 day ago
2358,jhs,"this is the first time i cried because watching a movie teaser. i feel so emotional seeing this even though black panther is not my main favorite marvel superhero.. and when t'challa's mother said her speech, idk it sounds very emotional but also powerful to me.",10,0 reply,1 day ago
2359,Ruger Red,I want to watch for the simple fact they paying tribute to Chadwick with the all white scene for his funeral that’s wavy ,12,0 reply,1 day ago (edited)
2360,Ashwin15 17,Good friends we have and good friends we've lost this line made me emotional and give me chills  we'll miss u Chadwick boseman and stan Lee hope u both having good times ,0,0 reply,1 day ago
2361,Edwin Navedo,"I went back and Watched Chadwick Boseman's tribute and his Howard University Speech.... then came back to this trailer and My Emotions have elevated for this Movie.... I am full of so much emotion..... 

Rest in Power Chadwick.... We are forever empowered by your artistry and humanity..... ",0,0 reply,1 day ago
2362,Zay_the_Kyng,"Rest in Peace, Chadwick Boseman. You will forever be our Black Panther",0,0 reply,1 day ago
2363,Martin Ahumada,"More MsheU, nah, I'm fine, thank you...",0,0 reply,6 hours ago
2364,Bob,Laaammeee,2,0 reply,4 hours ago
2365,Matthew Behling,"So for some reason wakanda which is in the middle of Africa is going to fight Atlantis. Wtf, one is a landlocked country and other is in the middle of the ocean",0,1 reply,2 hours ago
2366,interesting facts,Who is the next black panther,3,1 reply,3 hours ago
2367,mini,Is that real trailer?,1,1 reply,9 hours ago
2368,Owen Latham,This may be one of the most beautiful trailers Marvel has ever released.,128, 10 replies,4 days ago
2369,Flow,CONSOOOOOOOOOOM!!!!!,0,0 reply,4 hours ago
2370,jackson harper,Atlantis vs wakanda?,1,0 reply,9 hours ago
2371,I am a Filmi Geek,"""Have I not given everything"" was the most powerful line of the show. Goosebumps moment.",244, 8 replies,3 days ago
2372,J. No,"Have faith in Ryan Coogler, not Disney or Marvel Studios. Looks good, so far so good",0,0 reply,1 day ago (edited)
2373,chubbsboss21,Ayo la Raza representing ,0,0 reply,1 hour ago
2374,VIBE MX,"This is probably one of the most emotional cinematic presentations I've ever experienced. The fact that Chadwick is no longer with us and we're witnessing a true-life memorial, is just so powerful. Rest in peace Black Panther; safe travels to the ancestral plane.",161,0 reply,3 days ago
2375,Tony Okami,Can’t wait to see it in my Home Cinema ,0,0 reply,1 day ago
2376,Mikhael מיכאל,All these upcoming movies and they can’t make one for X-men? (Which btw would swoop the avengers in a second) WACK!,1, 5 replies,9 hours ago
2377,Dale Mohammed,Namor????,0,0 reply,3 hours ago
2378,Unknown,"When a franchise loses a star in real life, when a project moves forward, they have to make sure it not just honors the character within, but the one who put his heart and soul into the role, making it what it is. May this film do justice for the legacy T'Chala passed down, and the gift Chadwick left behind. Wakanda Forever. Chadwick for Life",95, 2 replies,3 days ago (edited)
2379,tech tonic,Bucky Barnes is next black panther...,0,0 reply,10 hours ago
2380,Bryan Adam Pantaleon,But black panther dead also rest in peace so how are you going to make this it prob going to suck bc it not real black panther but the trailer was good,0,0 reply,5 hours ago
2381,Macrocks,"The emotions that you feel with each frame and the song were powerful. We miss you, Chadwick. Chadwick Forever.",123,0 reply,3 days ago
2382,xoxo,MOST CHILLING TRAILER IN THE HISTORY OF MAN! I HAVE NEVER WATCHED A MARVEL TRAILER MORE THAN ONCE. I'VE WATCHED THIS ONE MULTIPLE TIMES AND IT ONLY GETS BETTER!,1,0 reply,1 day ago
2383,Georgia McManus,"Man, this hit different. Some how, you've managed to make a touching, exciting and suspenseful trailer.... I can't wait until November.",0,0 reply,1 day ago
2384,Squatch Studios,"Ahhh, yes. The Black Panther/Avatar crossover we have all been waiting for!",1,0 reply,1 day ago
2385,Alex K,There couldn't have been a better track for that trailer! ,3,0 reply,1 day ago
2386,Abeer W.,Goosebumps. Breathtaking. Spellbound. Waiting.,2,0 reply,1 day ago
2387,JustFrank___,LETS GO! I hope this movie is as good as the first!,1,0 reply,1 day ago
2388,Tammara Askew,First movie since Endgame I'm willing to risk it all to see it in a movie theater.  So powerful.   Can't wait.,1,1 reply,1 day ago
2389,Goliath_Beast,"RIP, Chadwick. You're the reason why I like Black Panther. It won't be the same without you. Wakanda Forever.",0,0 reply,1 day ago
2390,Pradhap Jayamoorthy,Most powerful and emotional trailer ever watched,1,0 reply,1 day ago
2391,Favourite Dogegamer,"I am so hyped for another movie of all time which will have been directed by a director, the actors will have acted and the cinematograpers will have filmed the movie.",0,0 reply,1 day ago
2392,Skicide,"Kendrick’s “alright” in this trailer was amazing to hear, a new marvel movie that’s probably gonna be better then eternals, and may Chadwick Boseman rest in power ",0,0 reply,1 day ago
2393,JuiceMyRandomness,I still need to see part one:) I can’t wait to watch them.,0,0 reply,1 day ago
2394,rian rian,THE BLACK PANTHER TEAM IS ALWAYS KILLING IT! ALWAYS ON FIRE!!,0,0 reply,1 day ago
2395,Dominic VLOGS,This is insane waiting for it eagerly,0,0 reply,1 day ago
2396,Bro Annoying,"I absolutely love the influence of Kendrick on these movies, he feels perfect for it.",0,0 reply,1 day ago
2397,PaiN UzumaKi,"1:33 to 1:56 is better part of this trailer But trailer is already extraordinary
Idk why am I crying !",2,0 reply,1 day ago
2398,Mini,Will definitely miss Chadwick as in Black Panther !,1,0 reply,1 day ago
2399,Isaiah Seda,Haven’t been this excited for a marvel movie in so long……We all need this King .,0,0 reply,1 day ago
2400,Eric Broke It,Chills.  Goosebumps.  Miss you Chadwick.,0,0 reply,1 day ago
2401,CoolDrama Alpha,"RIP Chadwick, I hope Marvel founds someone just like him to replace for the T'Challa character, if not, then I could tell that he could never be replaced.",1,0 reply,1 day ago
2402,Zoe Shirin,"Me encanta la versión que habéis subido en MarvelMusicVEVO, pero también me encanta la versión épica del trailer. Marvel, ¿podrías subirla también, por favor? Como con el fragmento de Alright de Kendrick Lamar y la música de fondo.",1,1 reply,1 day ago
2403,Bryan Ro (E-Books Audio-books And Soundtracks),"If there wasn’t a single bit of CGI or special effects, I would still be first in line to see this movie ! ",0,0 reply,1 day ago
2404,MRSHONAMISSION,Chills and tears. Can’t wait to see!,1,0 reply,1 day ago
2405,Wis Dom,I love the CGI on this!,2,0 reply,1 day ago
2406,Dionte Foster,I think you guys should continue Black Panther movies just to honor him and his memories. Black panther️ you will always be in our memories we miss you.,1,0 reply,1 day ago (edited)
2407,Kittyrin27,"I’m really about to cry  the trailer looks so good. The last two Marvel movies have been so good, I have high hopes for this one especially",9,0 reply,1 day ago
2408,Skeletor,Rest In peace Chadwick. I hope this movie does you right!,1,0 reply,1 day ago (edited)
2409,General Grievous,"Chadwick Boseman rest in peace, i hope you can watch it from above! You are the Black Panther!",0,0 reply,1 day ago
2410,Hazel Mae Yee,getting goosebumps when i hear the whisper.....WAKANDA FOREVER,1,0 reply,1 day ago
2411,Aaron Lloyd,i can't wait for this!,1,0 reply,1 day ago
2412,Vk DUDE,I am literally watching this trailer for hours,2,0 reply,1 day ago
2413,Akash Sahani,"""Have I not given everything"" watching this again n again",1,0 reply,1 day ago
2414,Damon Martin,This mad my cry but I love how you didn't pretend that he wasn't dead I love him so I hope the movie is as good as the trailer,0,0 reply,1 day ago
2415,Sainadh Reddy,That scene at 1:12️️,0,0 reply,1 day ago
2416,BlvckWolf Media,Every one of us lost a family member when Chadwick passed away. We finally get closure in this movie because we will actually be present for not only his characters funeral but memorializing his real existence in the real world. I cried tears for my brother on this trailer and I haven’t stopped running it back since it dropped!,21,0 reply,1 day ago
2417,stella paul,I love it !!!,1,0 reply,1 day ago
2418,Natasha Lesprance,This raises the hair on my body RIP CB This movie do justice you will be missed  ,1,0 reply,1 day ago
2419,Jarrold Harrell,"These are the types of movies that change the dynamics of the superhero world. The moment where kids/adult say ""my favorite superhero of all time is ________"".       WakandaForever",1,0 reply,1 day ago
2420,Wyatt Evans,"sheeeesh - thats the best Marvel Trailer I think I've ever seen. I really enjoyed the first Black Panther movie, but kinda felt like it never quite rose to its full potential, but this looks so much more impressive. I will miss the charisma of Chadwick Boseman Immensly",0,0 reply,1 day ago
2421,sheilla septianne,can’t wait,1,0 reply,1 day ago
2422,MANJEET SINGH,"We miss you Chadwick Boseman, Our Real Black Panther. Rest In Peace.",0,0 reply,1 day ago
2423,Oni Jay,Can't wait!!,0,0 reply,1 day ago
2424,goldjwes18,This gives me chills,1,0 reply,1 day ago
2425,Carlos Segoviano,Finally!! A marvel movie that seems like its going to be a drama and take itself seriously!!,30, 3 replies,1 day ago
2426,Guess my name,I hope this movie is really good despite with whatever is happening with phase 4,1,0 reply,1 day ago
2427,BERZERKER PLAYS,"Cant wait to watch this, dear marvel please give late Mr. Boseman a good ending retirement for his sequel so he will smile above us️",0,0 reply,1 day ago
2428,Yvng kei,"R.I.P Chadwick Boseman he was a good man who made us fell how we feel today R.I.P Chadwick Boseman,The Black Panther, WAKANDA FOREVER",0,0 reply,1 day ago (edited)
2429,BIJU .V BAULEYAN,Really missed Chadwick Boseman..,2,0 reply,1 day ago
2430,Karacan ST,Did anyone else cry? I miss Chadwick!,1,0 reply,1 day ago
2431,Neo-Xgray87,"Rest in Power, Chadwick Boseman!!! WAKANDA FOREVER!!!",0,0 reply,1 day ago
2432,Imebi Surya10,I'm really happy and excited to see the trailer of black Panther 2.....but....this movie is still incomplete without the king.....We really miss you Chadwick sir....,0,0 reply,1 day ago
2433,The Traveller,I already crying watching this teaser ,2,0 reply,1 day ago
2434,BlueBlacky,Love the music they used hype for the movie Wakanda Forever!,0,0 reply,1 day ago
2435,STR Aporb,"underwater scenes meant
that Namor is coming ️️️",2,0 reply,1 day ago
2436,Justin Stoll,I really hope the guy that plays the character in Black panther from from the movie us takes the Black panther mantle. He was the only one to really get to charla a real fight other than killmonger plus it would be cool because his tribe was kind of cast out and make for a good king.,0,0 reply,1 day ago
2437,kiritoparth,i am watching this masterpiece 54th time but not get bored,1,0 reply,1 day ago
2438,even greven,going to be fire ,0,0 reply,1 day ago
2439,Zoe Shirin,"Adoro a versão que carregou no MarvelMusicVEVO, mas também adoro a versão épica do reboque. Marvel, pode por favor carregar também essa versão? Como com o fragmento de Alright de Kendrick Lamar e a música de fundo.",1, 2 replies,1 day ago
2440,Ribotto Studios,"That transition from ""No Woman No Cry"" to ""Alright"" then becoming a MASHUP was IMPECCABLE. I got 3 messages out of this: (1) don't cry. It's okay and important to mourn, but stand strong in the face of adversity. 
(2) everything is gonna be alright. Things may seem hard now, especially for Wakanda, but they'll make it through.
(3) Wakanda Forever. Individuals come and go but ideas, legacies and impressions last a lifetime.",30, 3 replies,1 day ago (edited)
2441,YUNG DTREY,What an emotional moment,1,0 reply,1 day ago
2442,Mike Wells,"The first movie was filled with love, joy, and culture. This one will be an emotional roller coaster. Rip Chadwick, thank you for everything you did for the world before your time was up.",39,1 reply,1 day ago (edited)
2443,3220sunshine,So many of our black and brown mothers have given everything...losing their children to violence.  My God...I felt this as a mom.  OSCAR FOR MRS ANGELA BASSETT!!,1,0 reply,1 day ago
2444,Emmanuel Xzel,Epic! Just epic!,2,0 reply,1 day ago
2445,Trizimator,Idk why but I think this is going to be a banger of a film,1,0 reply,1 day ago
2446,Adam Hull,"Rest in power king. 

Long live the queen!",0,0 reply,1 day ago
2447,Deepak kumar,I'm hoping my expectations don't get shattered the way they did after watching the new Doctor Strange and Thor movies.,0,0 reply,1 day ago
2448,Synnøve Lied,"1:19 That line Angela Basset (Queen Ramonda) said gave me chills down my spine, man!! This trailer; the suspense, music, tension, visuals, the scenes, - it's all so incredibly amazing! I can't wait for this movie! I just know it's gonna be a banger and hit our feels.. ",2,0 reply,1 day ago
2449,Ti My,This is the saddest most emotional marvel trailer ever,2,0 reply,1 day ago
2450,Anonymous,"I really hope there’s not another trailer after this, looks too good to show more footage before premiere night",0,0 reply,1 day ago
2451,Victoire,And no one will remember the fact that it took 3 decades for Namor to finally appear in a movie,0,0 reply,1 day ago
2452,Rahul Kambli,Ludwig Goransson's Music give me goosebumps ️,0,0 reply,1 day ago
2453,Arius Gaming,Wakanda Forever️ from Vietnam with love to Chadwick Boseman-our real king,2,0 reply,1 day ago
2454,Nirmit Chowdhury,In November a history will be created  ,1,0 reply,1 day ago
2455,Ashish Kadu,Wakanda forever ️,1,0 reply,1 day ago
2456,Lonely operator,I have watched this trailer like a million times! RIP Chadwick wakanda forever,0,0 reply,1 day ago
2457,Janina Carter,Award for best trailer and song and photography/special effects. Wow!,1,0 reply,1 day ago
2458,Seminole Thomas,I have never seen a trailer this powerful and emotional.,1, 2 replies,1 day ago
2459,Moe Resse,Dope!!! So we fighting Namor? Let's get it!!!,1,0 reply,1 day ago
2460,Rachelle Akuffo,In tears. I CANNOT WAIT!,0,0 reply,1 day ago
2461,Jobiwuankenobi,Yo 20m in two days? Wow this movie is gonna break records when it drops in November.,1,0 reply,1 day ago
2462,KEB HaNa bank application guide,So emotional ㅜㅜㅜㅜㅜ Chadwick is really beloved person .,1,0 reply,1 day ago (edited)
2463,qminari,Oh wow I’m so looking forward to this movie.. :( chadwick will be missed,0,0 reply,1 day ago
2464,THE Vanicant,"Man really hyped for this, really hoping Marvel doesnt ruin this like Thor and Dr.Strange.",0,0 reply,1 day ago
2465,Atul Singhal,Don't know about the movie but trailer feels a perfect tribute to Chadwick Boseman.,0,0 reply,1 day ago
2466,Vikramsingh Rajpurohit,It makes me remember that legendMay rest in peace the real one ,0,0 reply,1 day ago
2467,Jon Madden,Nice that they're bringing sub mariner to the MCU (my personal favorite marvel villian.),0,0 reply,1 day ago
2468,e, I’m crying sm I love you guys and rest in piece Chadwick,0,0 reply,1 day ago
2469,Samuel Teh,Wow.. The amount of chills..,0,0 reply,1 day ago
2470,VapeGoat,"This is going to be such a great movie. The amount of love being put into it is showing, people want to respect Boseman's legacy",1,0 reply,1 day ago
2471,Riknang Marak,RIP in Power my King️️,0,0 reply,1 day ago
2472,Minecraft Steve,Praying to whatever deities that we get a well written female character,0,0 reply,1 day ago
2473,Ahmet Selim Kılıç,This is will be best movie to 2022 for Marvel. ,2,0 reply,1 day ago (edited)
2474,Arthur Morgan,Best tribute ,0,0 reply,1 day ago
2475,You Can't See Lim,"Chadwick will be miss badly by all the people who love him. The next Black Panther, I wonder who could it be?",0,0 reply,1 day ago
2476,R Jimenez,"Dam, I started to cry, I miss that actor",1,0 reply,1 day ago
2477,panther YT,Wakanda forever ,0,0 reply,1 day ago
2478,Peluzzo100,"Had huge goosebumps!
Ohh Chad...",0,0 reply,1 day ago
2479,Jason Lee,Get this man a Shield.  Get this movie an Oscar.,0,0 reply,1 day ago (edited)
2480,Senjan Escavar,"Marvel really does everything better
Even the Atlantis looks way cooler than DC aquaman crap lol",1,0 reply,1 day ago
2481,Susk11,I got chills,1,0 reply,1 day ago
2482,LoveGod,Everything is gonna be alright RIP king,0,0 reply,1 day ago
2483,Jaya Sharma,we will definetly miss  chadwick bose man,0,0 reply,1 day ago
2484,Illiterate 8yo,my favorite  part has to be when they used a dead guys twitter to advertise their movie. what a fantastic move!,1,0 reply,1 day ago
2485,Andrew Sparkes,Wow i can’t wait for this movie and marks the end of Phase 4…. I wonder if we will see Dr Doom at the end of this film :-),0,0 reply,1 day ago
2486,Murot Lovery,So amazing,1,0 reply,1 day ago
2487,Steve Z,Quand tu as la chair de poule juste en regardant le trailer tu sais déjà que le film sera un chef d’œuvre,0,0 reply,1 day ago
2488,Timothy Apollo,"It wasn’t a terrible trailer but really I seen nothing groundbreaking about it, it was an ok trailer at best",0,0 reply,1 day ago
2489,Austin Perry,"His sister is gone? What I wanted her to take up her brothers mantle as the panther. She Is smart like Bruce and Tony and the skill to surpass Steve, Nat, and Clint. All she needs is the super strength from the plant or a synthetic derivative of it",1,0 reply,1 day ago
2490,Devendra Chandra,Just Perfect,1,0 reply,1 day ago
2491,AKASH CHAUHAN,Wakanda forever rip king,0,0 reply,1 day ago
2492,Sa7yam Gaming,bruh the goosebumps.....MISS YOU CHADWICK :(......,0,0 reply,1 day ago
2493,Zoe Shirin,"I love the version you uploaded in MarvelMusicVEVO, but I also love the epic version of the trailer. Marvel, can you please upload that too? Like with the fragment of Alright by Kendrick Lamar and the background music.",2,1 reply,1 day ago
2494,Chris Tian,"Disney better not screw this up. Just have either the Sister or the Wife become the new Black Panther, where Chad's legacy gets passed on to his fictional family in this movie, and it'll be alright.
Yes, I went there. Beautiful trailer.",0,0 reply,1 day ago
2495,Khanti Katakia,Aquaman cameo was awesome,1,0 reply,1 day ago
2496,Derek Lobenbruck,"This movie is the last hope for Marvel phase 4 to be considered even somewhat successful. Based on this teaser, I think we will be disappointed.",1,0 reply,1 day ago
2497,LOUNS,This is wayyy too emotional ,0,0 reply,1 day ago
2498,Gorz,The question is can this movie be as great as the first BP without boy Chadwick? Imo I don’t think so. I’m afraid to hear how they explain his absence in the movie as well.,0,0 reply,1 day ago
2499,Pedro Silva,"If Ironheart is going to be a girl from Wakanda it will already be 100x better than the comics...And I would rather she made her armor from wakanda's technology than made by a bunch of junk, because yes.",0,0 reply,1 day ago
2500,00 ZARU,My Guess is that Shuri is feared Dead when Fighting The Atlanteans. Queen Ramonda is killed off leaving Shuri the Throne. Shuri encounters Killmonger in the Ancestrial Plane and Reassured That She can Protect Wakanda as The New Black Panther. How She Becomes The Black Panther is what Im Anxious to See.,0,0 reply,1 day ago
2501,Shija N,"i literally couldn't hold my tears. Such an emotional trailer, cant wait this to be in the cinemas. RIP Chadwick Boseman.",59,0 reply,3 days ago
2502,Parlons De Business,The trailer itself is epic! Can't wait for the movie in November!,183, 3 replies,3 days ago
2503,Josh Davis,This trailer brought me to tears rest in peace Chadwick you'll always be the Black panther,364, 5 replies,2 days ago
2504,TheHanyou,I need a moment... I wasn't expecting to open on a Funeral. I am not ok.  I love it. A beautiful tribute to a lost king. ,430, 4 replies,3 days ago
2505,Marc & Amalia,Kendrick at the end was golden,2,0 reply,1 day ago
2506,Bored Tamale,I cried just because of the opening scene this trailer was amazing,235, 2 replies,3 days ago
2507,Red Ronin GM,I can’t begin to imagine how emotionally painful it must have been for the cast to film this without Chadwick ,349, 6 replies,3 days ago
2508,Sas-Reu,Who else remember when the reported asked about Black Panther 2 ?No one can replace Chad for the respect he’ve owned RiP Chad wakanda forever,0,0 reply,1 day ago (edited)
2509,Paulina Muñoz,"This is a masterpiece, I couldn’t hold my tears. Chadwick Rest In Peace.",102,1 reply,3 days ago (edited)
2510,C S,TEMSSSSSS!!!!!!!! NAIJA TO THE WORLD,0,0 reply,6 hours ago
2511,RuffStuff,I am not anymore fan because Chadwick is not there..this is usless marvel..,1,0 reply,7 hours ago
2512,Anoop Srivastava,"Chadwick Boseman Was The Person That Made This Character So Impactful For A Very Long Time!! He May Be Gone From This World But He's Still With Us, In Our Hearts!!",45,1 reply,3 days ago
2513,Daniel Brown,Looks pants,0,0 reply,9 hours ago
2514,Jabba Dabba Jew,The irony is brutal.,0,0 reply,4 hours ago
2515,Dylan Smith,We all know this won't be the same without Chadwick! He was truly one of a kind! He will forever be our Black Panther!,185, 12 replies,2 days ago
2516,Erul Sujatmoko,Feels so deep ,1,0 reply,1 day ago
2517,Koch Island 24,1:56 is that Erik?,0,0 reply,9 hours ago
2518,Grandmaster 5183,Goosebumps all the way through  Imagine how tough it must've been to do this movie without Chadwick,186, 7 replies,3 days ago
2519,Cosmo,Is it out?,0,1 reply,59 minutes ago
2520,seng vang,Chills,0,0 reply,6 hours ago
2521,General Kenobi's Art,Rest easy Chadwick. Forever loved and missed. My Black Panther,400, 5 replies,4 days ago
2522,J Crispy,"Just bring Tchalla back, seriously ",1, 2 replies,1 hour ago
2523,MUHAMMAD Afrizal,1:34 ironheart ?,1,1 reply,1 hour ago (edited)
2524,Noah Sundström,That voice in the end ”wakandaa foreveer” LITERALLY GOOSEBUMPS,266, 8 replies,2 days ago
2525,kemar Demar,🇯🇲🇯🇲🇯🇲🇯🇲 no woman no cry,0,0 reply,1 hour ago
2526,06 Grim,Only one black panther with the gold and that’s Michael b Jordan…,0,0 reply,13 minutes ago
2527,Bad Take Tom,1:50 that shot of namor descending to his thrown was amazing.,75, 3 replies,3 days ago
2528,Bad Politics,I miss Chadwick Boseman.....,0,0 reply,1 day ago
2529,Ray Play,Неужели в конце был Киллмонгер?,0,1 reply,4 hours ago
2530,Ridham best boi,WOKANDA FOREVER,1,1 reply,7 hours ago
